ID da resposta,genero,raca,deficiencia,idade,civil,filhos,religiao,politica,escolarizacao,escol_pai,profissao_pai,escol_mae,profissao_mae,gde_area,disciplina,uf,localizacao,cat_adm,org_acad,tempo_institu,capes,cons_empresas,cons_gov,cons_ag_fomento,atu_com_regu,atu_com_pesq,coord_gp,part_gp,coord_pg,coord_grad,soc_c_nacio,soc_c_inter,ABC,SBPC,publi_liv_tec,publi_liv_geral,patentes,publi_art_c,parecer_rev,part_event_c,org_event_c,divulga_c,curso_com_ext,p_teorica,p_experimental,p_laboratorio,p_empirca,p_aplicada,p_tecnologica,p_campo,p_demanda,p_outros,docencia,pos_lato_s,pos_stricto_s,extensao,projeto_pesq,administracao,orienta_grad,orienta_stricto_s,orienta_lato_s,medicina,fisioterapia,biologia,geologia,sociologia,historia,psicologia,filosofia,letras,artes,economia,administracao,direito,matematica,fisica,quimica,computacao,eng_prod,eng_mec,agronomia,zootecnia,coment_finais
309,Masculino,Branca,Não,55,Casada/o,2,Sem religião,De direita,publica,ensino médio,serviços administrativos,ensino médio,serviços administrativos,Ciências Exatas,Física,Paraná,No interior,Pública Estadual,Universidade,15,5,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,,4,0 - Não atua,4,0 - Não atua,4,2,2,4,0 - Não atua,5 - Muito,2,5 - Muito,2,Não é ciência,2,2,Não é ciência,Não é ciência,Não é ciência,2,Não é ciência,Não é ciência,5 - Muito,5 - Muito,5 - Muito,2,2,2,4,2,
310,Feminino,Branca,Não,54,Casada/o,2,Agnosticismo,De esquerda,particular,pós-graduação,educação,pós-graduação,educação,Ciências da Natureza,Biologia,Paraná,No interior,Pública Estadual,Universidade,34,6,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,0 - Não atua,1 - Pouco,3,1 - Pouco,3,1 - Pouco,1 - Pouco,4,1 - Pouco,4,4,5 - Muito,4,1 - Pouco,Não é ciência,2,Não é ciência,Não é ciência,Não é ciência,1 - Pouco,1 - Pouco,Não é ciência,1 - Pouco,5 - Muito,5 - Muito,3,2,3,3,3,
311,Feminino,Branca,Não,60,União estável,3+,Sem religião,De esquerda,publica,ensino básico,serviços técnicos,ensino médio,dona de casa,Ciências da Natureza,Biologia,Paraná,No interior,Pública Estadual,Universidade,32,5,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Sim,Não,,4,3,4,2,5 - Muito,4,3,5 - Muito,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,"Todas as disciplinas listadas acima no questionários podem ser ou não científicas, depende de como são trabalhadas e abordadas."
312,Masculino,Branca,Não,49,Casada/o,2,Evangélico,De esquerda,publica,ensino básico,empresário,pós-graduação,serviços profissionais,Ciências da Saúde,Fisioterapia,Paraná,No interior,Pública Estadual,Universidade,22,4,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,,4,0 - Não atua,5 - Muito,1 - Pouco,5 - Muito,0 - Não atua,3,5 - Muito,0 - Não atua,4,4,5 - Muito,5 - Muito,4,4,4,4,4,3,4,4,3,4,5 - Muito,5 - Muito,4,4,4,4,4,
313,Masculino,Branca,Não,59,Solteira/o,0,Católico,De centro,publica,ensino médio,serviços técnicos,ensino básico,dona de casa,Ciências Exatas,Computação,Paraná,Na capital,Privada sem fins lucrativos,Universidade,35,5,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Não,Não,,2,2,3,0 - Não atua,4,3,3,4,2,4,3,4,4,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,
314,Feminino,Branca,Não,67,Casada/o,1,Evangélico,De centro,publica,ensino básico,empresário,ensino básico,dona de casa,Ciências Agrárias,Ciência animal,Paraná,No interior,Privada sem fins lucrativos,Universidade,9,4,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,,3,0 - Não atua,5 - Muito,0 - Não atua,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
315,Masculino,Branca,Sim,43,União estável,3+,Católico,De esquerda,publica,ensino superior,educação,ensino médio,dona de casa,Ciências Agrárias,Engenharia ambiental,Paraná,No interior,Pública Estadual,Universidade,16,4,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,,4,0 - Não atua,4,0 - Não atua,2,1 - Pouco,3,3,0 - Não atua,4,4,4,4,2,2,3,1 - Pouco,1 - Pouco,1 - Pouco,4,4,1 - Pouco,3,4,4,4,5 - Muito,3,4,5 - Muito,
316,Masculino,Branca,Não,42,Casada/o,2,Sem religião,De esquerda,publica,ensino básico,setor agrícola,ensino básico,dona de casa,Ciências Agrárias,Ecologia,Paraná,No interior,Pública Estadual,Universidade,14,4,Sim,Não,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Não,,4,0 - Não atua,4,2,5 - Muito,2,1 - Pouco,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,3,1 - Pouco,5 - Muito,5 - Muito,2,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
317,Feminino,Amarela,Não,45,Casada/o,0,Outros,De centro,publica,ensino superior,serviços administrativos,ensino superior,serviços administrativos,Ciências Agrárias,Ciência animal,Paraná,No interior,Privada sem fins lucrativos,Universidade,14,4,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim,Não,Sim,Não,,4,0 - Não atua,5 - Muito,4,5 - Muito,3,4,3,0 - Não atua,4,3,4,3,3,3,4,3,3,2,4,3,3,3,3,4,2,3,3,5 - Muito,5 - Muito,
318,Feminino,Branca,Não,44,Casada/o,0,Sem religião,De esquerda,publica,pós-graduação,serviços administrativos,pós-graduação,educação,Ciências Agrárias,Biologia,Rio Grande do Sul,No interior,Privada sem fins lucrativos,Universidade,12,5,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,,5 - Muito,1 - Pouco,2,0 - Não atua,4,4,3,3,0 - Não atua,3,3,5 - Muito,5 - Muito,4,4,3,3,2,3,4,4,3,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
319,Feminino,Branca,Não,42,Casada/o,2,Sem religião,De esquerda,particular,ensino médio,trabalhador industrial,ensino superior,educação,Ciências Agrárias,Bioquímica,Rio Grande do Sul,No interior,Pública Federal,Universidade,15,4,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,5 - Muito,0 - Não atua,4,0 - Não atua,4,1 - Pouco,1 - Pouco,2,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,5 - Muito,4,5 - Muito,4,4,4,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
320,Masculino,Branca,Não,67,Casada/o,2,Sem religião,De esquerda,publica,ensino médio,serviços administrativos,ensino médio,dona de casa,Ciências da Natureza,Biologia,Rio Grande do Sul,No interior,Privada sem fins lucrativos,Universidade,42,5,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,,0 - Não atua,0 - Não atua,2,4,4,0 - Não atua,2,3,0 - Não atua,1 - Pouco,3,4,5 - Muito,4,4,3,Não é ciência,Não é ciência,Não é ciência,4,4,1 - Pouco,4,4,4,4,4,4,4,4,
321,Feminino,Branca,Não,58,Casada/o,2,Budismo,De esquerda,particular,pós-graduação,educação,ensino médio,dona de casa,Engenharias,Engenharia de produção,Rio Grande do Sul,No interior,Privada sem fins lucrativos,Universidade,22,4,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,,4,1 - Pouco,4,1 - Pouco,4,2,2,5 - Muito,1 - Pouco,3,2,5 - Muito,5 - Muito,4,3,3,4,3,2,3,4,2,4,4,4,4,4,4,4,4,
322,Masculino,Prefiro não responder,Não,55,Casada/o,2,Evangélico,De centro,particular,ensino superior,serviços profissionais,ensino médio,serviços técnicos,Ciências Agrárias,Ciência animal,Paraná,Na capital,Privada sem fins lucrativos,Universidade,22,4,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Sim,,5 - Muito,0 - Não atua,3,1 - Pouco,4,1 - Pouco,3,5 - Muito,0 - Não atua,3,3,3,3,2,2,3,2,1 - Pouco,1 - Pouco,3,2,2,2,5 - Muito,5 - Muito,4,4,4,4,4,"A classificação por raças é primeiro ultrapassado e segundo por si só ""racista""  e discriminador. "
323,Feminino,Branca,Não,61,Casada/o,2,Católico,De esquerda,particular,ensino superior,serviços profissionais,pós-graduação,educação,Engenharias,Engenharia de materiais,Paraná,Na capital,Pública Federal,Universidade,22,5,Não,Não,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Não,,0 - Não atua,3,0 - Não atua,1 - Pouco,5 - Muito,2,1 - Pouco,0 - Não atua,4,5 - Muito,4,5 - Muito,5 - Muito,3,2,4,3,2,2,3,1 - Pouco,2,2,2,5 - Muito,3,3,4,4,5 - Muito,
324,Masculino,Branca,Não,59,Casada/o,0,Outros,De esquerda,publica,ensino básico,setor agrícola,ensino básico,setor agrícola,Ciências da Saúde,Biologia,Paraná,Na capital,Pública Federal,Instituto de Pesquisa,10,5,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,0 - Não atua,0 - Não atua,2,0 - Não atua,5 - Muito,3,1 - Pouco,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
325,Feminino,Branca,Não,41,Casada/o,2,Católico,De centro,publica,ensino superior,artífice-técnico,pós-graduação,educação,Ciências Agrárias,Ciências dos alimentos,Paraná,No interior,Privada com fins lucrativos,Universidade,7,3,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,,4,0 - Não atua,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,4,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,1 - Pouco,1 - Pouco,1 - Pouco,4,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,3,5 - Muito,5 - Muito,3,3,5 - Muito,5 - Muito,5 - Muito,
326,Masculino,Branca,Não,57,Solteira/o,2,Sem religião,De esquerda,publica,ensino básico,serviços comerciais,ensino médio,dona de casa,Ciências da Natureza,Biologia,Paraná,Na capital,Pública Federal,Universidade,30,5,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,,4,0 - Não atua,2,1 - Pouco,4,4,3,3,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,3,3,5 - Muito,4,4,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,4,
328,Masculino,Branca,Não,62,Casada/o,0,Católico,De esquerda,publica,pós-graduação,setor agrícola,ensino básico,dona de casa,Ciências Exatas,Química,Paraná,Na capital,Pública Federal,Universidade,30,7,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,,5 - Muito,5 - Muito,0 - Não atua,0 - Não atua,5 - Muito,2,1 - Pouco,0 - Não atua,5 - Muito,2,2,4,3,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,1 - Pouco,4,5 - Muito,5 - Muito,1 - Pouco,Não é ciência,2,2,2,
329,Masculino,Branca,Não,59,Casada/o,2,Espiritismo,De esquerda,publica,ensino básico,setor agrícola,ensino básico,serviços técnicos,Ciências da Natureza,Biologia,Paraná,Na capital,Pública Federal,Universidade,26,5,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,,5 - Muito,0 - Não atua,3,0 - Não atua,5 - Muito,1 - Pouco,3,5 - Muito,0 - Não atua,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,fico a disposição.
330,Masculino,Branca,Não,40,Casada/o,2,Evangélico,De direita,particular,ensino superior,empresário,pós-graduação,empresária,Ciências da Saúde,Bioquímica,Paraná,Na capital,Pública Federal,Universidade,13,5,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,,4,4,4,1 - Pouco,5 - Muito,4,4,4,4,5 - Muito,5 - Muito,5 - Muito,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,
331,Masculino,Branca,Não,65,Casada/o,0,Evangélico,De centro,publica,pós-graduação,artífice-técnico,ensino médio,serviços comerciais,Ciências da Natureza,Biologia,Rio Grande do Sul,No interior,Privada sem fins lucrativos,Universidade,25,5,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,,5 - Muito,1 - Pouco,4,3,5 - Muito,3,3,4,1 - Pouco,5 - Muito,4,5 - Muito,5 - Muito,5 - Muito,4,5 - Muito,5 - Muito,4,4,5 - Muito,4,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
332,Masculino,Branca,Não,48,União estável,0,Espiritismo,De centro,publica,ensino básico,serviços comerciais,ensino básico,dona de casa,Ciências da Natureza,Biologia,Paraná,No interior,Privada sem fins lucrativos,Universidade,23,4,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,,5 - Muito,0 - Não atua,5 - Muito,2,5 - Muito,4,2,4,0 - Não atua,5 - Muito,4,5 - Muito,5 - Muito,3,4,4,4,5 - Muito,3,4,5 - Muito,1 - Pouco,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,5 - Muito,
333,Masculino,Branca,Não,70,Casada/o,3+,Católico,De centro,publica,ensino básico,serviços comerciais,ensino básico,serviços técnicos,Ciências da Saúde,Bioquímica,Amazonas,Na capital,Pública Federal,Universidade,44,4,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,,2,1 - Pouco,4,1 - Pouco,5 - Muito,1 - Pouco,3,5 - Muito,1 - Pouco,5 - Muito,3,5 - Muito,5 - Muito,3,4,3,2,3,1 - Pouco,4,3,2,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,4,5 - Muito,5 - Muito,
334,Feminino,Parda,Não,38,Solteira/o,0,Católico,De esquerda,particular,ensino básico,serviços comerciais,pós-graduação,educação,Ciências Agrárias,Agronomia,Paraná,No interior,Privada sem fins lucrativos,Universidade,7,4,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Não,,5 - Muito,0 - Não atua,4,1 - Pouco,5 - Muito,2,4,5 - Muito,0 - Não atua,4,4,5 - Muito,4,3,4,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,
335,Feminino,Branca,Não,50,União estável,1,Católico,De esquerda,particular,ensino superior,funcionário público,ensino básico,dona de casa,Ciências Exatas,Computação,Rio Grande do Sul,Na capital,Privada sem fins lucrativos,Universidade,23,6,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Sim,,5 - Muito,4,5 - Muito,0 - Não atua,5 - Muito,4,4,5 - Muito,0 - Não atua,5 - Muito,4,5 - Muito,5 - Muito,4,4,4,5 - Muito,4,4,4,4,4,5 - Muito,5 - Muito,5 - Muito,5 - Muito,4,5 - Muito,5 - Muito,5 - Muito,
